id,slug,name,is_active,module_exists,reason_code,reason_detail,recommended_action,source_type,integration_method,crawl_frequency,expected_event_count,health_tags,active_months,last_crawled_at,last_crawled_age_days,owner_portal_id,url
669,atlanta-braves-opening-day,Atlanta Braves Opening Day,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,,daily,,[],,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.mlb.com/braves
680,atlanta-brick-con,Atlanta Brick Con,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://atlantabrickcon.com
769,atlanta-camping-rv-show,Atlanta Camping & RV Show,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://atlantarvshow.com
623,atlanta-caribbean-carnival,Atlanta Caribbean Carnival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlantacarnival.org/
646,atlanta-christkindl-market,Atlanta Christkindl Market,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.christkindlmarket.org
737,atlanta-cocktail-week,Atlanta Cocktail Week,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,,daily,,[],,,,74c2f211-ee11-453d-8386-ac2861705695,https://atlantacocktailweek.com/
599,atlanta-coin-show,Greater Atlanta Coin Show,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,,daily,,[],,,,74c2f211-ee11-453d-8386-ac2861705695,http://atlcoin.com
610,atlanta-diwali,Atlanta Diwali Celebration,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlantamandir.info/
645,atlanta-eid-festival,Atlanta Eid Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.eidfest.org/
670,atlanta-fashion-week,Atlanta Fashion Week,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlantafashionweek.co
